Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2021 01:00,11047.018793,1517.435253,3978.220628,838.35281,13575.277728,3545.09331,7778.262533,1440.18856,43719.849616
01/01/2021 02:00,10954.470339,1523.683893,3975.757045,825.123437,13340.337915,3586.547882,7693.744119,1421.385715,43321.050347
01/01/2021 03:00,10883.65724,1519.800916,3969.812081,819.551228,13311.625189,3586.124059,7566.951524,1405.544826,43063.067063
01/01/2021 04:00,10926.482445,1523.472963,3983.487761,820.612439,13356.442066,3570.592369,7506.685527,1402.283632,43090.059203
01/01/2021 05:00,11019.796399,1565.625573,3980.940744,831.607158,13528.651487,3590.902242,7563.971854,1405.094618,43486.590073
01/01/2021 06:00,11177.295498,1620.182536,3989.045927,846.885426,13856.236844,3647.147106,7716.803602,1411.722584,44265.319522
01/01/2021 07:00,11410.561091,1674.471044,4002.890462,871.252822,14264.48312,3739.704895,7899.134781,1427.790026,45290.288241
01/01/2021 08:00,11520.858079,1734.114479,4005.830334,892.653632,14561.962288,3762.622802,8021.636984,1448.145848,45947.824447
01/01/2021 09:00,11527.478175,1767.963394,3984.835018,909.838172,14834.580806,3738.518505,7878.398455,1449.030452,46090.642978
01/01/2021 10:00,11575.082495,1800.630833,3952.641191,927.238195,15226.184006,3661.655309,7614.075689,1421.224385,46178.732104
01/01/2021 11:00,11564.602693,1796.552473,3924.61958,930.782597,15511.869504,3574.501791,7341.170941,1378.110615,46022.210194
01/01/2021 12:00,11449.634828,1787.011955,3886.967717,934.501859,15640.479792,3423.741774,7030.816356,1337.123978,45490.278259
01/01/2021 13:00,11239.409645,1780.165204,3850.069053,925.169864,15596.015741,3263.690203,6654.424096,1291.665744,44600.609551
01/01/2021 14:00,10991.154353,1755.463028,3812.649707,911.447486,15448.061106,3138.651684,6328.485747,1239.950293,43625.863405
01/01/2021 15:00,10771.280398,1724.395174,3795.833509,899.229915,15231.373602,3037.145733,6094.220976,1204.311276,42757.790583
01/01/2021 16:00,10723.901378,1680.752807,3774.070508,894.75073,15156.289428,2997.435118,6006.420645,1183.891751,42417.512364
